key,source_language,target_language
feedback.close,Schließen,إغلاق
feedback.negativeRating,Diese Seite ist nicht hilfreich,هذه الصفحة ليست مفيدة
feedback.positiveRating,Diese Seite ist hilfreich,هذه الصفحة مفيدة
header.settings,Einstellungen,الإعدادات
header.share,Teilen,المشاركة
header.shareMessage,Gerade gefunden:,تم حالاً العثور على:
header.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,للأسف، فشل في مشاركة المحتوى.
header.disclaimer,Impressum,هيئة التحرير
intro.search,Suche,البحث
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,استخدام الكلمات الرئيسية للعثور بسرعة على المعلومات الصحيحة
intro.languageChange,Sprachwechsel,تغيير اللغة
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,تغيير سهل للغة كل صفحة على حدة
intro.events,Veranstaltungen,الفعاليات
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,فعاليات ومواعيد حالية في المنطقة المحيطة
intro.offers,Angebote,العروض
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung",البحث عن عمل، البحث عن تدريب والكثير من الأمور الأخرى في المنطقة المحيطة
intro.inquiryTitle,Einstellungen,الإعدادات
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der Integreat-App, ...","من خلال النقر على ""{{accept}}"" أسمح لتطبيق إنتجريت، ..."
intro.sentryTitle,App-Stabilität,استقرار التطبيق
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten Integreat zu verbessern,... من خلال الإرسال التلقائي، بتحسين تقارير الأعطال الخاصة بتطبيق إنتجريت
intro.pushNewsTitle,Push-Benachrichtigungen,الإخطارات اللحظية
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen News zu senden,... إرسال الإخطارات اللحظية الخاصة بأحدث الأخبار المحلية لي
intro.proposeCitiesTitle,Nahegelegene Orte,الأماكن القريبة
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... اقتراح الأماكن القريبة عليّ باستخدام موقعي عبر تقنية الـGPS
intro.skip,Überspringen,تخطي
intro.next,Weiter,استمرار
intro.cancel,Abbrechen,إلغاء
intro.save,Speichern,حفظ
intro.customize,Anpassen,تعديل
intro.decline,Ablehnen,رفض
intro.accept,Akzeptieren,قبول
intro.privacyPolicy,Datenschutzerklärung,بيان الخصوصية
landing.searchCity,Ort suchen,البحث عن مكان
landing.nearbyPlaces,Orte in der Nähe,الأماكن القريبة
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,لم يتم العثور على أماكن قريبة.
landing.alert,Hinweis,ملاحظة
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",يتعين تفعيل خدمات تحديد الموقع، حتى يُمكن عرض الأماكن القريبة.
layout.imprintAndContact,Impressum und Kontakt,هيئة التحرير وجهة الاتصال
layout.privacy,Datenschutz,حماية البيانات
layout.offers,Angebote,العروض
layout.categories,Kategorien,الفئات
layout.events,Veranstaltungen,الفعاليات
layout.noEvents,Keine Veranstaltungen,لا توجد فعاليات
layout.noLanguages,Nicht verfügbar in anderen Sprachen,غير متوفر بلغات أخرى
layout.noTranslation,Keine Übersetzung verfügbar,لا توجد ترجمة متاحة
layout.search,Suchen,البحث
layout.changeLocation,Standort wechseln,تغيير الموقع
layout.changeLanguage,Sprache wechseln,تغيير اللغة
search.searchCategory,Suche nach einer Kategorie,البحث عن فئة
settings.sentryTitle,App-Stabilität,استقرار التطبيق
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die Integreat-App verbessern,تطوير تطبيق إنتجريت من خلال الإرسال التلقائي لتقارير الأعطال
settings.pushNewsTitle,Push-Benachrichtigungen,الإخطارات اللحظية
