key,source_language,target_language
intro.pushNewsTitle,Push-Benachrichtigungen,Powiadomienia typu push
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden,...na wysyłanie powiadomień push o aktualnościach lokalnych
intro.proposeCitiesTitle,Nahegelegene Orte,Lokalizacje w pobliżu
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... na sugerowanie lokalizacje w pobliżu przy użyciu mojej lokalizacji GPS
intro.skip,Überspringen,Pomiń
intro.next,Weiter,Dalej
intro.cancel,Abbrechen,Przerwij
intro.save,Speichern,Zapisz
intro.customize,Anpassen,Dostosuj
intro.decline,Ablehnen,Odrzuć
intro.accept,Akzeptieren,Akceptuj
intro.privacyPolicy,Datenschutzerklärung,Oświadczenie o ochronie danych
landing.searchCity,Ort suchen,Znajdź lokalizację
landing.nearbyPlaces,Orte in der Nähe,lokalizacje w pobliżu
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Nie znaleziono lokalizacji w pobliżu.
landing.alert,Hinweis,Wskazówka
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Usługi lokalizacyjne muszą być włączone, aby wyświetlić lokalizacje w pobliżu."
landing.noPermission,Standortzugriff erforderlich,
landing.loading,Bestimme Standort...,
landing.notAvailable,Standortbestimmung deaktiviert,
landing.timeout,Standortbestimmung fehlgeschlagen,
landing.refresh,Liste der Orte aktualisieren,
layout.imprintAndContact,Impressum und Kontakt,Nota prawna i kontakt
layout.privacy,Datenschutz,Ochrona danych
layout.offers,Angebote,Oferty
layout.localInformation,Lokale Informationen,Informacje lokalne
layout.events,Veranstaltungen,Wydarzenia
layout.noEvents,Keine Veranstaltungen,Brak wydarzeń
layout.news,Nachrichten,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Niedostępne w innych językach
layout.noTranslation,Keine Übersetzung verfügbar,Brak dostępnego tłumaczenia
layout.search,Suchen,Wyszukaj
layout.changeLocation,Standort wechseln,Zmień placówkę
layout.changeLanguage,Sprache wechseln,Zmień język
layout.settings,Einstellungen,Ustawienia
layout.share,Teilen,Udostępnij
layout.cancel,Abbrechen,Przerwij
layout.shareMessage,Gerade gefunden: {{message}},Właśnie znaleziono: {{message}}
layout.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,Niestety udostępnianie treści nie powiodło się.
layout.disclaimer,Impressum,Nota prawna
news.news,Nachrichten,
news.newsAlternative,Neuigkeiten,
news.localNews,Lokale Nachrichten,
news.localNewsAlternative,Lokale Neuigkeiten,
news.local,Lokal,
news.readMore,Weiterlesen,
news.currentlyNoNews,Aktuell gibt es keine Nachrichten.,
news.currentlyNoNewsAlternative,Aktuell gibt es keine Neuigkeiten.,
offers.offers,Angebote,Oferty
search.searchPlaceholder,Suche,
settings.sentryTitle,App-Stabilität,Stabilność aplikacji
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern,Ulepszanie aplikacji {{appName}} przez automatycznie wysyłanie raportów o awariach
settings.pushNewsTitle,Push-Benachrichtigungen,Powiadomienia typu push
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten,Otrzymywanie powiadomień typu push o aktualnościach lokalnych
settings.proposeCitiesTitle,Nahegelegene Orte,Lokalizacje w pobliżu
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,Uzyskiwanie sugestii dotyczących lokalizacji w pobliżu za pomocą lokalizacji GPS
settings.about,Über {{appName}},O {{appName}}
settings.privacyPolicy,Datenschutzerklärung,Oświadczenie o ochronie danych
settings.version,Version: {{version}},Wersja: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Licencje open source
snackbar.grantPermission,Erlauben,Zezwól
snackbar.deactivateFeature,Feature deaktivieren,Deaktywuj funkcje
snackbar.locationPermissionMissing,Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich,
snackbar.pushNotificationPermissionMissing,Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich,
snackbar.deactivate,Deaktivieren,
snackbar.coronaMessage,"Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.",
snackbar.coronaUrl,https://www.infektionsschutz.de/coronavirus/,
snackbar.learnMore,Mehr Infos,
snackbar.dismiss,Schließen,
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Brak dostępnych ofert
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Brak dostępnych ofert.
wohnen.values.runningServices.heating,Heizung,Ogrzewanie
wohnen.values.runningServices.water,Wasser/Abwasser,Woda/ścieki
wohnen.values.runningServices.garbage,Müllabfuhr,Wywóz śmieci
wohnen.values.runningServices.chimney,Kaminkehrer,Kominiarz
wohnen.values.runningServices.other,Sonstiges,Inne
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garaż/miejsce postojowe
wohnen.values.additionalServices.other,Sonstiges,Inne
wohnen.values.rooms.kitchen,Küche,Kuchnia
wohnen.values.rooms.bath,Bad,Łazienka
wohnen.values.rooms.wc,WC,WC
wohnen.values.rooms.child1,Kinderzimmer 1,Pokój dziecięcy 1
wohnen.values.rooms.child2,Kinderzimmer 2,Pokój dziecięcy 2
wohnen.values.rooms.child3,Kinderzimmer 3,Pokój dziecięcy 3
wohnen.values.rooms.bed,Schlafzimmer,Sypialnia
wohnen.values.rooms.livingroom,Wohnzimmer,Salon
wohnen.values.rooms.hallway,Diele,Sień
wohnen.values.rooms.store,Abstellraum,Pomieszczenie gospodarcze
wohnen.values.rooms.basement,Kellerraum,Pomieszczenie piwniczne
wohnen.values.rooms.balcony,Balkon / Terrasse,Balkon / taras
