"key","source_language","target_language"
"snackbar.coronaMessage","Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.","Macluumaad saynis oo cusbooneysiisan ayaa laga heli karaa Xarunta Federalka ee Barashada Caafimaadka."
"snackbar.coronaUrl","https://www.infektionsschutz.de/coronavirus/","https://www.infektionsschutz.de/coronavirus/"
"snackbar.learnMore","Mehr Infos","Macluumaad dheeraad ah"
"snackbar.dismiss","Schließen","Gunaanad"
"sprungbrett.noOffersAvailable","Keine Angebote verfügbar","Wax adeeg ah oo la heli karo ma jiraan"
"wohnen.noOffersAvailable","Keine Angebote verfügbar.","Wax adeeg ah oo la heli karo ma jiraan."
"wohnen.values.runningServices.heating","Heizung","kuleyliyaha"
"wohnen.values.runningServices.water","Wasser/Abwasser","Bullaacadda Biyaha"
"wohnen.values.runningServices.garbage","Müllabfuhr","Aruurinta qashinka"
"wohnen.values.runningServices.chimney","Kaminkehrer","Xaaqidda Jiimniska (chimney)"
"wohnen.values.runningServices.other","Sonstiges","kala duwan"
"wohnen.values.additionalServices.garage","Garage/Stellplatz","Garaash / baarkin"
"wohnen.values.additionalServices.other","Sonstiges","kala duwan"
"wohnen.values.rooms.kitchen","Küche","Jiko"
"wohnen.values.rooms.bath","Bad","Qubeys"
"wohnen.values.rooms.wc","WC","WC"
"wohnen.values.rooms.child1","Kinderzimmer 1","Qolka carruurta 1"
"wohnen.values.rooms.child2","Kinderzimmer 2","Qolka carruurta 2"
"wohnen.values.rooms.child3","Kinderzimmer 3","Qolka carruurta 3"
"wohnen.values.rooms.bed","Schlafzimmer","Qolka jiifka"
"wohnen.values.rooms.livingroom","Wohnzimmer","Qolka fadhiga"
"wohnen.values.rooms.hallway","Diele","Hoolka"
"wohnen.values.rooms.store","Abstellraum","Qolka kaydka"
"wohnen.values.rooms.basement","Kellerraum","Qolka hoose"
"wohnen.values.rooms.balcony","Balkon / Terrasse","Balakoonka / barxada"
