key,source_language,target_language
layout.search,Suchen,Căutare
layout.changeLocation,Standort wechseln,Schimbați locația
layout.changeLanguage,Sprache wechseln,Schimbați limba
search.searchCategory,Suche nach einer Kategorie,Căutați după o categorie
settings.sentryTitle,App-Stabilität,Stabilitate app
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die Integreat-App verbessern,Îmbunătățiți Integreat-App prin trimiterea automată a rapoartelor de blocare
settings.pushNewsTitle,Push-Benachrichtigungen,Notificări push
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen News erhalten,Primiți notificări push pentru cele mai recente noutăți locale
settings.proposeCitiesTitle,Nahegelegene Orte,Locații aflate în apropiere
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,Primiți pe baza locației GPS propuneri pentru locații aflate în apropiere
settings.about,Über Integreat,Prin intermediul Integreat
settings.privacyPolicy,Datenschutzerklärung,Declarație privind confidențialitatea
settings.version,Version: {{version}},Versiune: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Licențe open source
snackbar.grantPermission,Erlauben,Permiteți
snackbar.deactivateFeature,Feature deaktivieren,Dezactivați feature
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Nicio ofertă disponibilă
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Nicio ofertă disponibilă.
wohnen.values.runningServices.heating,Heizung,Încălzire
wohnen.values.runningServices.water,Wasser/Abwasser,Apă/Apă menajeră
wohnen.values.runningServices.garbage,Müllabfuhr,Eliminare deșeuri
wohnen.values.runningServices.chimney,Kaminkehrer,Coșar
wohnen.values.runningServices.other,Sonstiges,Diverse
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garaj/parcare
wohnen.values.additionalServices.other,Sonstiges,Diverse
wohnen.values.rooms.kitchen,Küche,Bucătărie
wohnen.values.rooms.bath,Bad,Baie
wohnen.values.rooms.wc,WC,WC
wohnen.values.rooms.child1,Kinderzimmer 1,Cameră copii 1
wohnen.values.rooms.child2,Kinderzimmer 2,Cameră copii 2
wohnen.values.rooms.child3,Kinderzimmer 3,Cameră copii 3
wohnen.values.rooms.bed,Schlafzimmer,Dormitor
wohnen.values.rooms.livingroom,Wohnzimmer,Sufragerie
wohnen.values.rooms.hallway,Diele,Debara
wohnen.values.rooms.store,Abstellraum,Cameră de depozitare
wohnen.values.rooms.basement,Kellerraum,Pivniță
wohnen.values.rooms.balcony,Balkon / Terrasse,Balcon/terasă
