"key","source_language","target_language"
"news.currentlyNoNews","Aktuell gibt es keine Nachrichten.","ኣብዚ እዋን’ዚ ዜና የለን።"
"news.currentlyNoNewsAlternative","Aktuell gibt es keine Neuigkeiten.","ኣብዚ እዋን’ዚ ዜና የለን።"
"offers.offers","Angebote","ውዕላት"
"search.searchPlaceholder","Suche","ፈትሽ"
"settings.sentryTitle","App-Stabilität","ናይ ኣፕ ርጉእነት"
"settings.sentryDescription","Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern","ናይ ብልሽት/ውድቀት ጸብጻባት ብኣውቶማቲካዊ መንገዲ ብምስዳድ ንኣፕ {{appName}} ኣመሓይሾ"
"settings.pushNewsTitle","Push-Benachrichtigungen","ምልክታታት መልእኽቲ"
"settings.pushNewsDescription","Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten","ነቲ ሓድሽ ከባብያዊ ዜና ዝኾኑ ምልክታታት መልእኽቲ ተቐበል"
"settings.proposeCitiesTitle","Nahegelegene Orte","ኣብ ጥቓኻ ዘለዎ ቦታታት"
"settings.proposeCitiesDescription","Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten","ነቲ ናይ GPS (ጂፒኤስ) ቦታ ብምጥቃም ብዛዕባ ኣብ ጥቓኻ ዘለዉ ቦታታት ሓሳብ ተቐበል"
"settings.about","Über {{appName}}","ብዛዕባ {{appName}}"
"settings.privacyPolicy","Datenschutzerklärung","ሓለዋ ዳታ/ሓበሬታ"
"settings.version","Version: {{version}}","ዓይነት፥ {{version}}"
"settings.openSourceLicenses","Open-Source-Lizenzen","ናጻ-ዝምንጮም ፍቓዳት ስራሕ"
"snackbar.grantPermission","Erlauben","ኣፍቅድ"
"snackbar.deactivateFeature","Feature deaktivieren","እቲ ጠባይ ንጡፍ ከምዘይከውን ግበር"
"snackbar.locationPermissionMissing","Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich","ኣብ  ጥቃኹም ንዘለዉ ቦታታት ሓሳብ ንምሃብ ዘለኽሞ ቦታ ናይ ምፍላጥ ዕድል ክውሃቦ ይጠልብ"
"snackbar.pushNotificationPermissionMissing","Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich","ናይ ምድፋእ መፍለጢታት ንምስዳድ ፍቓድ ይጥለብ"
"snackbar.deactivate","Deaktivieren","ዘይንጡፍ ከምዝኸውን ግበር"
"snackbar.coronaMessage","Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.","ሓድሽ ስነ-ፍልጠታዊ ሓበሬታ ኣብቲ ፈደራላዊ ማእከል ንትምህርቲ ጥዕና ክርከብ ይኽእል Aufklärung."
"snackbar.coronaUrl","https://www.infektionsschutz.de/coronavirus/","https://www.infektionsschutz.de/coronavirus/"
"snackbar.learnMore","Mehr Infos","ተወሳኺ ሓበሬታ"
"snackbar.dismiss","Schließen","መደምደምታ"
"sprungbrett.noOffersAvailable","Keine Angebote verfügbar","ዝኾኑ ኣቕርቦታት የለዉን"
"wohnen.noOffersAvailable","Keine Angebote verfügbar.","ዝኾኑ ኣቕርቦታት የለዉን።"
"wohnen.values.runningServices.heating","Heizung","መውዓዪ"
"wohnen.values.runningServices.water","Wasser/Abwasser","ቱቦ ረሳሕ ማይ"
"wohnen.values.runningServices.garbage","Müllabfuhr","ምእካብ ጎሓፍ"
"wohnen.values.runningServices.chimney","Kaminkehrer","ጸረግቲ መውጽኢ ትኪ"
"wohnen.values.runningServices.other","Sonstiges","በብዓይነቱ"
